sale_id;customer_id;product_id;sale_date;total;rating
2609;1;24;01/09/2024;25000;5
2716;1;24;04/09/2024;25000;4
3025;1;24;14/09/2024;25000;5
3581;1;4;02/10/2024;24000;5
4504;1;5;04/11/2024;27000;4
5079;1;8;23/11/2024;30000;5
5452;1;9;05/12/2024;30000;4
6630;1;4;15/01/2025;24000;5
7322;1;1;10/02/2025;18000;4
7357;1;1;11/02/2025;18000;4
9069;1;4;24/04/2025;24000;4
10138;1;2;03/09/2025;20000;5
10349;1;3;27/09/2025;22000;5
375;1;11;06/02/2024;25000;4
484;1;3;16/02/2024;22000;4
734;1;26;08/03/2024;175000;5
1787;1;13;11/06/2024;25000;4
1896;1;21;24/06/2024;65000;4
2207;1;22;23/07/2024;110000;5
2352;1;24;07/08/2024;25000;4
2430;1;24;14/08/2024;25000;5
3038;1;22;15/09/2024;110000;4
3052;1;24;15/09/2024;25000;4
3082;1;23;16/09/2024;55000;4
3444;1;21;28/09/2024;65000;4
5913;1;14;22/12/2024;28000;4
6428;1;14;08/01/2025;28000;5
135;1;7;16/01/2024;29000;5
158;1;3;18/01/2024;22000;4
193;1;24;21/01/2024;25000;4
1217;1;1;23/04/2024;18000;4
1302;1;13;30/04/2024;25000;4
1490;1;2;16/05/2024;20000;5
1813;1;19;14/06/2024;18000;4
1825;1;17;15/06/2024;27000;5
1830;1;1;16/06/2024;18000;4
2155;1;2;20/07/2024;20000;4
4975;1;8;19/11/2024;30000;5
2107;1;2;16/07/2024;20000;5
766;1;11;11/03/2024;25000;4
1150;1;23;15/04/2024;55000;4
1661;1;14;01/06/2024;28000;4
6687;1;4;17/01/2025;24000;5
6921;1;2;26/01/2025;20000;5
7933;1;2;01/03/2025;20000;5
9853;1;1;29/07/2025;18000;5
4888;1;1;17/11/2024;18000;5
9432;1;1;01/06/2025;18000;5
404;2;13;09/02/2024;25000;5
546;2;15;22/02/2024;30000;4
748;2;3;10/03/2024;22000;4
1475;2;18;14/05/2024;22000;4
2323;2;24;03/08/2024;25000;4
2569;2;24;28/08/2024;25000;4
4698;2;10;10/11/2024;29000;4
5657;2;1;13/12/2024;18000;4
6316;2;14;04/01/2025;28000;5
6829;2;1;23/01/2025;18000;4
7168;2;4;04/02/2025;24000;4
9499;2;4;11/06/2025;24000;5
9760;2;1;16/07/2025;18000;4
9815;2;3;23/07/2025;22000;5
789;2;13;13/03/2024;25000;5
1874;2;25;21/06/2024;75000;5
3168;2;22;19/09/2024;110000;5
3760;2;10;07/10/2024;29000;4
6385;2;14;06/01/2025;28000;5
7926;2;2;01/03/2025;20000;5
8708;2;2;26/03/2025;20000;5
8905;2;2;05/04/2025;20000;5
9673;2;4;03/07/2025;24000;5
918;2;23;26/03/2024;55000;4
1209;2;14;22/04/2024;28000;5
2717;2;24;04/09/2024;25000;5
6632;2;4;15/01/2025;24000;5
7653;2;1;21/02/2025;18000;4
10057;2;2;22/08/2025;20000;4
7120;2;4;02/02/2025;24000;5
7091;2;3;01/02/2025;22000;5
8361;2;3;14/03/2025;22000;5
929;3;28;27/03/2024;200000;4
2490;3;24;20/08/2024;25000;5
2619;3;24;01/09/2024;25000;5
4498;3;2;04/11/2024;20000;4
5014;3;3;21/11/2024;22000;5
5982;3;14;24/12/2024;28000;4
6638;3;1;16/01/2025;18000;5
10211;3;2;12/09/2025;20000;4
55;3;23;06/01/2024;55000;5
413;3;27;09/02/2024;250000;4
636;3;20;01/03/2024;22000;4
1583;3;15;24/05/2024;30000;5
1940;3;20;30/06/2024;22000;5
2330;3;24;04/08/2024;25000;5
5484;3;4;07/12/2024;24000;5
6689;3;1;18/01/2025;18000;5
655;3;22;02/03/2024;110000;4
2250;3;14;27/07/2024;28000;4
2372;3;24;09/08/2024;25000;5
2817;3;24;07/09/2024;25000;4
2880;3;24;09/09/2024;25000;4
3137;3;23;18/09/2024;55000;4
4516;3;10;04/11/2024;29000;4
5579;3;2;10/12/2024;20000;5
9914;3;2;05/08/2025;20000;4
10056;3;1;22/08/2025;18000;5
3322;3;24;23/09/2024;25000;4
6574;3;3;13/01/2025;22000;5
6793;3;2;21/01/2025;20000;5
8528;3;4;19/03/2025;24000;5
668;3;20;03/03/2024;22000;4
3302;3;22;23/09/2024;110000;4
8786;3;1;29/03/2025;18000;5
1928;3;2;29/06/2024;20000;4
2900;3;22;10/09/2024;110000;5
821;4;4;16/03/2024;24000;5
1466;4;25;13/05/2024;75000;4
4385;4;9;31/10/2024;30000;5
6211;4;14;01/01/2025;28000;5
6891;4;2;25/01/2025;20000;4
8056;4;1;04/03/2025;18000;5
9208;4;2;08/05/2025;20000;5
10118;4;3;30/08/2025;22000;5
73;4;17;09/01/2024;27000;4
2426;4;24;14/08/2024;25000;5
3949;4;8;14/10/2024;30000;4
4638;4;9;08/11/2024;30000;4
5509;4;1;08/12/2024;18000;5
5705;4;2;15/12/2024;20000;4
10132;4;4;01/09/2025;24000;4
151;4;17;17/01/2024;27000;4
2238;4;14;26/07/2024;28000;5
2298;4;8;01/08/2024;30000;4
3522;4;23;30/09/2024;55000;5
3923;4;1;14/10/2024;18000;4
8268;4;2;11/03/2025;20000;5
733;4;25;08/03/2024;75000;4
7283;4;3;08/02/2025;22000;4
9166;4;3;04/05/2025;22000;4
7953;4;4;01/03/2025;24000;4
7118;4;4;02/02/2025;24000;5
9419;4;3;30/05/2025;22000;5
778;5;11;12/03/2024;25000;4
1780;5;1;11/06/2024;18000;4
2014;5;19;06/07/2024;18000;4
2411;5;24;12/08/2024;25000;4
3412;5;21;27/09/2024;65000;5
3691;5;10;05/10/2024;29000;4
4861;5;9;15/11/2024;30000;4
5023;5;7;21/11/2024;29000;5
5709;5;5;15/12/2024;27000;4
6897;5;3;25/01/2025;22000;4
7723;5;3;23/02/2025;22000;4
7996;5;2;02/03/2025;20000;5
8143;5;3;06/03/2025;22000;4
8980;5;2;15/04/2025;20000;4
9299;5;4;16/05/2025;24000;4
885;5;25;22/03/2024;75000;4
1233;5;3;24/04/2024;22000;5
3306;5;22;23/09/2024;110000;4
3865;5;1;12/10/2024;18000;5
4382;5;6;31/10/2024;27000;5
4816;5;7;14/11/2024;29000;4
5194;5;10;27/11/2024;29000;5
6406;5;14;07/01/2025;28000;4
6810;5;1;22/01/2025;18000;4
9433;5;2;01/06/2025;20000;4
10199;5;1;10/09/2025;18000;5
2820;5;21;08/09/2024;65000;4
5919;5;14;22/12/2024;28000;5
8043;5;3;03/03/2025;22000;4
8503;5;1;19/03/2025;18000;5
2462;5;24;17/08/2024;25000;4
7675;5;4;21/02/2025;24000;4
8728;5;2;27/03/2025;20000;5
2793;5;22;07/09/2024;110000;5
4135;5;3;22/10/2024;22000;4
4694;5;9;10/11/2024;30000;5
1541;5;27;20/05/2024;250000;5
3209;5;22;20/09/2024;110000;5
6974;5;2;28/01/2025;20000;5
7044;5;4;30/01/2025;24000;4
28;6;25;03/01/2024;75000;4
251;6;17;26/01/2024;27000;5
601;6;20;26/02/2024;22000;4
1198;6;15;21/04/2024;30000;4
1819;6;3;15/06/2024;22000;5
1999;6;8;05/07/2024;30000;5
2648;6;24;02/09/2024;25000;4
2834;6;22;08/09/2024;110000;4
5923;6;14;22/12/2024;28000;4
6512;6;3;11/01/2025;22000;5
6564;6;2;13/01/2025;20000;4
7175;6;1;05/02/2025;18000;5
8327;6;2;13/03/2025;20000;5
8331;6;3;13/03/2025;22000;4
9845;6;4;27/07/2025;24000;5
144;6;24;16/01/2024;25000;5
1167;6;1;18/04/2024;18000;5
3088;6;24;16/09/2024;25000;4
3429;6;23;27/09/2024;55000;4
4271;6;4;27/10/2024;24000;4
7583;6;2;18/02/2025;20000;4
7819;6;4;26/02/2025;24000;5
8265;6;1;11/03/2025;18000;4
1441;6;10;11/05/2024;29000;4
2351;6;24;07/08/2024;25000;5
2804;6;24;07/09/2024;25000;4
3793;6;6;09/10/2024;27000;4
10237;6;1;14/09/2025;18000;4
1871;6;22;21/06/2024;110000;4
3519;6;23;30/09/2024;55000;4
900;6;19;24/03/2024;18000;4
3878;6;5;12/10/2024;27000;4
5791;6;4;18/12/2024;24000;5
7290;6;4;08/02/2025;24000;4
8401;6;4;15/03/2025;24000;4
9280;6;2;15/05/2025;20000;4
9477;6;3;08/06/2025;22000;5
475;7;23;15/02/2024;55000;4
1644;7;24;30/05/2024;25000;5
1991;7;14;04/07/2024;28000;4
3114;7;24;17/09/2024;25000;5
3530;7;24;30/09/2024;25000;5
3920;7;11;13/10/2024;25000;5
4419;7;10;01/11/2024;29000;5
4553;7;8;05/11/2024;30000;4
4908;7;11;17/11/2024;25000;5
5186;7;9;27/11/2024;30000;5
5481;7;4;07/12/2024;24000;5
5653;7;11;12/12/2024;25000;5
10284;7;2;20/09/2025;20000;5
525;7;22;20/02/2024;110000;4
1444;7;27;11/05/2024;250000;4
4227;7;4;25/10/2024;24000;5
4579;7;7;06/11/2024;29000;4
6149;7;14;29/12/2024;28000;4
6913;7;1;26/01/2025;18000;4
8711;7;3;26/03/2025;22000;5
1072;7;2;09/04/2024;20000;4
2136;7;7;18/07/2024;29000;5
2649;7;24;02/09/2024;25000;4
4037;7;5;18/10/2024;27000;5
